"source_repository","source_package","relationship","target_package","constraint"
"msys","breezy","runtime-depends-on","python-configobj",""
"msys","breezy","runtime-depends-on","python-dulwich",""
"msys","breezy","runtime-depends-on","python-fastbencode",""
"msys","breezy","runtime-depends-on","python-fastimport",""
"msys","breezy","runtime-depends-on","python-merge3",""
"msys","breezy","runtime-depends-on","python-patiencediff",""
"msys","brotli","runtime-depends-on","gcc-libs",""
"msys","brotli-devel","runtime-depends-on","brotli",""
"msys","bsdcpio","runtime-depends-on","gcc-libs",""
"msys","bsdcpio","runtime-depends-on","libbz2",""
"msys","bsdcpio","runtime-depends-on","libexpat",""
"msys","bsdcpio","runtime-depends-on","libiconv",""
"msys","bsdcpio","runtime-depends-on","liblz4",""
"msys","bsdcpio","runtime-depends-on","liblzma",""
"msys","bsdcpio","runtime-depends-on","libopenssl",""
"msys","bsdcpio","runtime-depends-on","libzstd",""
"msys","bsdcpio","runtime-depends-on","zlib",""
"msys","bsdtar","runtime-depends-on","gcc-libs",""
"msys","bsdtar","runtime-depends-on","libbz2",""
"msys","bsdtar","runtime-depends-on","libexpat",""
"msys","bsdtar","runtime-depends-on","libiconv",""
"msys","bsdtar","runtime-depends-on","liblz4",""
"msys","bsdtar","runtime-depends-on","liblzma",""
"msys","bsdtar","runtime-depends-on","libopenssl",""
"msys","bsdtar","runtime-depends-on","libzstd",""
"msys","bsdtar","runtime-depends-on","zlib",""
"msys","bzip2","runtime-depends-on","libbz2",""
"msys","ca-certificates","runtime-depends-on","bash",""
"msys","ca-certificates","runtime-depends-on","coreutils",""
"msys","ca-certificates","runtime-depends-on","findutils",""
"msys","ca-certificates","runtime-depends-on","openssl",""
"msys","ca-certificates","runtime-depends-on","p11-kit",""
"msys","ca-certificates","runtime-depends-on","sed",""
"msys","cargo-c","runtime-depends-on","libcurl",""
"msys","cargo-c","runtime-depends-on","libgit2",""
"msys","cargo-c","runtime-depends-on","libsqlite",""
"msys","cargo-c","runtime-depends-on","libssh2",""
"msys","cargo-c","runtime-depends-on","openssl-devel",""
"msys","cargo-c","runtime-depends-on","rust",""
"msys","cargo-edit","runtime-depends-on","rust",""
"msys","ccache","runtime-depends-on","doctest",""
"msys","ccache","runtime-depends-on","fmt",""
"msys","ccache","runtime-depends-on","gcc-libs",""
"msys","ccache","runtime-depends-on","libblake3",""
"msys","ccache","runtime-depends-on","libxxhash",""
"msys","ccache","runtime-depends-on","libzstd",""
"msys","ccache","runtime-depends-on","zlib",""
"msys","cdecl","runtime-depends-on","libreadline",""
"msys","cdecl","runtime-depends-on","ncurses",""
"msys","cflow","runtime-depends-on","libiconv",""
"msys","cflow","runtime-depends-on","libintl",""
"msys","cgdb","runtime-depends-on","gdb",""
"msys","cgdb","runtime-depends-on","libreadline",""
"msys","cgdb","runtime-depends-on","ncurses",""
"msys","clang","optional-depends-on","compiler-rt",""
"msys","clang","optional-depends-on","llvm",""
"msys","clang","runtime-depends-on","gcc",""
"msys","clang","runtime-depends-on","llvm-libs","=21.1.8"
"msys","clang-analyzer","runtime-depends-on","clang","=21.1.8"
"msys","clang-analyzer","runtime-depends-on","python",""
"msys","cloc","runtime-depends-on","perl",""
"msys","cloc","runtime-depends-on","perl-Algorithm-Diff",""
"msys","cloc","runtime-depends-on","perl-Parallel-ForkManager",""
"msys","cloc","runtime-depends-on","perl-Regexp-Common",""
"msys","cmake","runtime-depends-on","cppdap",""
"msys","cmake","runtime-depends-on","gcc-libs",""
"msys","cmake","runtime-depends-on","jsoncpp",""
"msys","cmake","runtime-depends-on","libarchive",""
"msys","cmake","runtime-depends-on","libcurl",""
"msys","cmake","runtime-depends-on","libexpat",""
"msys","cmake","runtime-depends-on","librhash",""
"msys","cmake","runtime-depends-on","libutil-linux",""
"msys","cmake","runtime-depends-on","libuv",""
"msys","cmake","runtime-depends-on","ncurses",""
"msys","cmake","runtime-depends-on","pkgconf",""
"msys","cmake","runtime-depends-on","zlib",""
"msys","cmake-bootstrap","runtime-depends-on","gcc-libs",""
"msys","cmake-emacs","runtime-depends-on","cmake","=4.4.2"
"msys","cmake-emacs","runtime-depends-on","emacs",""
"msys","cmake-vim","runtime-depends-on","cmake","=4.4.2"
"msys","cmake-vim","runtime-depends-on","vim",""
"msys","cmatrix","runtime-depends-on","ncurses",""
"msys","cocom","runtime-depends-on","gmp",""
"msys","colordiff","runtime-depends-on","diffutils",""
"msys","colordiff","runtime-depends-on","perl",""
"msys","colormake","runtime-depends-on","make",""
"msys","compiler-rt","runtime-depends-on","gcc-libs",""
"msys","coreutils","runtime-depends-on","gmp",""
"msys","coreutils","runtime-depends-on","libiconv",""
"msys","coreutils","runtime-depends-on","libintl",""
"msys","cpio","runtime-depends-on","libintl",""
"msys","cppdap","runtime-depends-on","gcc-libs",""
"msys","cppdap","runtime-depends-on","jsoncpp",""
"msys","crosstool-ng","runtime-depends-on","libintl",""
"msys","crosstool-ng","runtime-depends-on","ncurses",""
"msys","cscope","runtime-depends-on","ncurses",""
"msys","ctags","runtime-depends-on","jansson",""
"msys","ctags","runtime-depends-on","libiconv",""
"msys","ctags","runtime-depends-on","libpcre2_8",""
"msys","ctags","runtime-depends-on","libxml2",""
"msys","ctags","runtime-depends-on","libyaml",""
"msys","curl","runtime-depends-on","ca-certificates",""
"msys","curl","runtime-depends-on","libcurl",""
"msys","curl","runtime-depends-on","libnghttp2",""
"msys","curl","runtime-depends-on","libnghttp3",""
"msys","curl","runtime-depends-on","libngtcp2",""
"msys","curl","runtime-depends-on","libpsl",""
"msys","curl","runtime-depends-on","libunistring",""
"msys","curl","runtime-depends-on","openssl",""
"msys","curl","runtime-depends-on","zlib",""
"msys","cvs","runtime-depends-on","heimdal",""
"msys","cvs","runtime-depends-on","libopenssl",""
"msys","cvs","runtime-depends-on","libxcrypt",""
"msys","cvs","runtime-depends-on","zlib",""
"msys","cygutils","runtime-depends-on","gcc-libs",""
"msys","cygutils","runtime-depends-on","libiconv",""
"msys","cygutils","runtime-depends-on","libintl",""
"msys","cygutils","runtime-depends-on","popt",""
"msys","cyrus-sasl","runtime-depends-on","libsasl","=2.1.28"
"msys","cython","runtime-depends-on","python",""
"msys","dash","runtime-depends-on","filesystem",""
"msys","dash","runtime-depends-on","grep",""
"msys","dash","runtime-depends-on","sed",""
"msys","db","runtime-depends-on","libdb","=6.2.32"
"msys","db-docs","runtime-depends-on","sh",""
"msys","dejagnu","runtime-depends-on","expect",""
"msys","dialog","runtime-depends-on","libintl",""
"msys","dialog","runtime-depends-on","ncurses",""
"msys","diffutils","runtime-depends-on","libiconv",""
"msys","diffutils","runtime-depends-on","libintl",""
"msys","diffutils","runtime-depends-on","sh",""
"msys","docbook-dsssl","runtime-depends-on","perl",""
"msys","docbook-dsssl","runtime-depends-on","sgml-common",""
"msys","docbook-mathml","runtime-depends-on","libxml2",""
"msys","docbook-sgml","runtime-depends-on","sgml-common",""
"msys","docbook-sgml31","runtime-depends-on","sgml-common",""
"msys","docbook-xml","runtime-depends-on","libxml2",""
"msys","docbook-xsl","runtime-depends-on","docbook-xml",""
"msys","docbook-xsl","runtime-depends-on","libxml2",""
"msys","docbook-xsl","runtime-depends-on","libxslt",""
"msys","docbook-xsl-ns","runtime-depends-on","libxml2",""
"msys","docbook-xsl-ns","runtime-depends-on","libxslt",""
"msys","docx2txt","runtime-depends-on","perl",""
"msys","docx2txt","runtime-depends-on","unzip",""
"msys","dos2unix","runtime-depends-on","libintl",""
"msys","dosfstools","runtime-depends-on","libiconv",""
"msys","dosfstools","runtime-depends-on","libiconv-devel",""
"msys","doxygen","runtime-depends-on","gcc-libs",""
"msys","doxygen","runtime-depends-on","libiconv",""
"msys","doxygen","runtime-depends-on","libsqlite",""
"msys","dtc","runtime-depends-on","libyaml",""
"msys","ed","runtime-depends-on","sh",""
"msys","editorconfig-vim","runtime-depends-on","vim",""
"msys","efitools","runtime-depends-on","gnu-efi-devel",""
"msys","efitools","runtime-depends-on","libuuid",""
"msys","efitools","runtime-depends-on","openssl",""
"msys","elinks","runtime-depends-on","libbz2",""
"msys","elinks","runtime-depends-on","libexpat",""
"msys","elinks","runtime-depends-on","libgcrypt",""
"msys","elinks","runtime-depends-on","libgnutls",""
"msys","elinks","runtime-depends-on","libiconv",""
"msys","elinks","runtime-depends-on","libidn",""
"msys","elinks","runtime-depends-on","libintl",""
"msys","elinks","runtime-depends-on","liblzma",""
"msys","elinks","runtime-depends-on","libtre",""
"msys","elinks","runtime-depends-on","libzstd",""
"msys","elinks","runtime-depends-on","perl",""
"msys","elinks","runtime-depends-on","python3",""
"msys","elinks","runtime-depends-on","zlib",""
"msys","emacs","runtime-depends-on","glib2",""
"msys","emacs","runtime-depends-on","libgnutls",""
"msys","emacs","runtime-depends-on","libhogweed",""
"msys","emacs","runtime-depends-on","libiconv",""
"msys","emacs","runtime-depends-on","libxml2",""
"msys","emacs","runtime-depends-on","ncurses",""
"msys","emacs","runtime-depends-on","zlib",""
"msys","enscript","optional-depends-on","cygutils",""
"msys","enscript","runtime-depends-on","libiconv",""
"msys","enscript","runtime-depends-on","libintl",""
"msys","enscript","runtime-depends-on","perl",""
"msys","etc-update","optional-depends-on","dialog",""
"msys","etc-update","runtime-depends-on","bash",""
"msys","etc-update","runtime-depends-on","diffutils",""
"msys","expect","runtime-depends-on","tcl",""
"msys","fido2-tools","runtime-depends-on","libfido2","=1.17.0"
"msys","file","runtime-depends-on","gcc-libs",""
"msys","file","runtime-depends-on","libbz2",""
"msys","file","runtime-depends-on","liblzma",""
"msys","file","runtime-depends-on","libzstd",""
"msys","file","runtime-depends-on","zlib",""
"msys","findutils","runtime-depends-on","libiconv",""
"msys","findutils","runtime-depends-on","libintl",""
"msys","fish","optional-depends-on","python",""
"msys","fish","runtime-depends-on","gcc-libs",""
"msys","fish","runtime-depends-on","libpcre2_32",""
"msys","fish","runtime-depends-on","libpcre2_8",""
"msys","fish","runtime-depends-on","man-db",""
"msys","fisher","runtime-depends-on","curl",""
"msys","fisher","runtime-depends-on","fish",""
"msys","flex","runtime-depends-on","libiconv",""
"msys","flex","runtime-depends-on","libintl",""
