"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"mingw32","mingw-w64-i686-gi-docgen","2026.1-1","False","","any","mingw-package","Documentation tool for GObject-based libraries (mingw-w64)","","spdx:Apache-2.0;OR;GPL-3.0-or-later","https://gnome.pages.gitlab.gnome.org/gi-docgen/","mingw-w64-i686-python;mingw-w64-i686-python-jinja;mingw-w64-i686-python-markdown;mingw-w64-i686-python-markupsafe;mingw-w64-i686-python-pygments;mingw-w64-i686-python-typogrify;mingw-w64-i686-python-packaging","","","","","5.69 MiB","12.65 MiB","Sat Jan 31 12:12:19 2026"
"mingw32","mingw-w64-i686-giflib","6.1.3-1","False","","any","mingw-package","A library for reading and writing gif images (mingw-w64)","","spdx:MIT","https://sourceforge.net/projects/giflib/","mingw-w64-i686-cc-libs","","","","","126.31 KiB","739.96 KiB","Fri Apr 17 09:32:46 2026"
"mingw32","mingw-w64-i686-git","2.55.0.3-1","False","","any","mingw-package","The fast distributed version control system (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-curl;mingw-w64-i686-ca-certificates;mingw-w64-i686-expat>=2.0;mingw-w64-i686-openssl;mingw-w64-i686-pcre2;nano","","","","","6.01 MiB","40.89 MiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-archimport","2.55.0.3-1","False","","any","mingw-package","Import an Arch repository into Git (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;mingw-w64-i686-git-perl=2.55.0.3","","","","","25.74 KiB","77.84 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-credential-wincred","2.55.0.3-1","False","","any","mingw-package","Git credential helper for Windows Credential Manager (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3","","","","","30.76 KiB","59.93 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-cvs","2.55.0.3-1","False","","any","mingw-package","CVS support for Git (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;mingw-w64-i686-git-perl=2.55.0.3;perl-DBI","","","","","92.36 KiB","420.02 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-doc-html","2.55.0.3-1","False","","any","mingw-package","The fast distributed version control system (mingw-w64)","","GPL2","https://gitforwindows.org/","","","","","","1681.48 KiB","18134.84 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-doc-man","2.55.0.3-1","False","","any","mingw-package","The fast distributed version control system (mingw-w64)","","GPL2","https://gitforwindows.org/","","","","","","1172.96 KiB","1158.61 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-for-windows-addons","2.55.0.3-1","False","","any","mingw-package","Git for Windows extra executables and wrappers (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;mingw-w64-i686-git-subtree;mingw-w64-i686-git-credential-wincred;mingw-w64-i686-git-send-email;mingw-w64-i686-gitk;mingw-w64-i686-git-gui","","","","","123.39 KiB","926.33 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-gui","2.55.0.3-1","False","","any","mingw-package","Git GUI tool (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;mingw-w64-i686-tcl;mingw-w64-i686-tk","","","","","228.77 KiB","1410.57 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-p4","2.55.0.3-1","False","","any","mingw-package","Perforce support for Git (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;mingw-w64-i686-python","","","","","69.43 KiB","272.77 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-perl","2.55.0.3-1","False","","any","mingw-package","Perl module for Git (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;perl>=5.14.0;perl-Error;perl-libwww;perl-TermReadKey","","","","","31.32 KiB","89.79 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-send-email","2.55.0.3-1","False","","any","mingw-package","Send patch emails with git (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;mingw-w64-i686-git-perl=2.55.0.3;perl-Authen-SASL;perl-MIME-tools;perl-Net-SMTP-SSL","","","","","57.44 KiB","190.16 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-subtree","2.55.0.3-1","False","","any","mingw-package","Subtree support for Git (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3","","","","","27.66 KiB","78.99 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-git-svn","2.55.0.3-1","False","","any","mingw-package","Subversion support for Git (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;mingw-w64-i686-git-perl=2.55.0.3;subversion","","","","","102.55 KiB","368.77 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-gitk","2.55.0.3-1","False","","any","mingw-package","Git repository browser (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;mingw-w64-i686-tcl;mingw-w64-i686-tk","","","","","157.30 KiB","935.17 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-gitweb","2.55.0.3-1","False","","any","mingw-package","Git web interface (mingw-w64)","","GPL2","https://gitforwindows.org/","mingw-w64-i686-git=2.55.0.3;perl","","","","","131.74 KiB","539.36 KiB","Tue Jul 14 23:48:44 2026"
"mingw32","mingw-w64-i686-gles-headers","3.2.r1065.7fc154c-1","False","","any","mingw-package","OpenGL|ES header files (mingw-w64)","","spdx:MIT","https://www.khronos.org/opengles","","","","","","51.07 KiB","698.33 KiB","Tue Jun 17 03:23:16 2025"
"mingw32","mingw-w64-i686-glib2","2.88.3-1","False","","any","mingw-package","Common C routines used by GTK+ 3 and other libs (mingw-w64)","","spdx:LGPL-2.1-or-later","https://gitlab.gnome.org/GNOME/glib","mingw-w64-i686-gettext-runtime;mingw-w64-i686-libffi;mingw-w64-i686-pcre2;mingw-w64-i686-python;mingw-w64-i686-python-packaging;mingw-w64-i686-zlib","","","","","5.25 MiB","40.27 MiB","Thu Jul 30 01:56:12 2026"
"mingw32","mingw-w64-i686-gmp","6.3.0-2","False","","any","mingw-package","A free library for arbitrary precision arithmetic (mingw-w64)","","LGPL3;GPL","https://gmplib.org/","","","","","","543.00 KiB","2671.64 KiB","Fri Sep 15 02:42:12 2023"
"mingw32","mingw-w64-i686-gnutls","3.8.13-3","False","","any","mingw-package","A library which provides a secure layer over a reliable transport layer (mingw-w64)","","spdx:GPL-3.0-or-later;spdx:LGPL-2.1-or-later","https://www.gnutls.org/","mingw-w64-i686-cc-libs;mingw-w64-i686-brotli;mingw-w64-i686-gettext-runtime;mingw-w64-i686-gmp;mingw-w64-i686-libidn2;mingw-w64-i686-libtasn1;mingw-w64-i686-libunistring;mingw-w64-i686-libwinpthread;mingw-w64-i686-nettle;mingw-w64-i686-p11-kit;mingw-w64-i686-zlib;mingw-w64-i686-zstd","","","","","2.29 MiB","14.19 MiB","Mon Jul  6 02:12:06 2026"
