"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"msys","libsqlite","3.53.3-1","True","3.53.2-1","x86_64","msys-package","Sqlite3 library","libraries","spdx:LicenseRef-Sqlite","https://www.sqlite.org/","","","libsqlite=3.53.3","sqlite-compress<3.33.0;sqlite-icu<3.33.0;sqlite-rbu<3.33.0;sqlite-vfslog<3.33.0","","741.21 KiB","1537.46 KiB","Mon Jun 29 02:42:02 2026"
"msys","libssh2","1.11.1-1","True","1.11.1-1","x86_64","msys-package","Multi-protocol file transfer library (runtime)","libraries","BSD","https://libssh2.org/","ca-certificates;openssl;zlib","","","","","225.25 KiB","363.38 KiB","Thu Jan  2 16:02:53 2025"
"msys","libtasn1","4.21.0-1","True","4.21.0-1","x86_64","msys-package","A library for Abstract Syntax Notation One (ASN.1) and Distinguish Encoding Rules (DER) manipulation","libraries","GPL3;LGPL","https://www.gnu.org/software/libtasn1/","info","","","","","98.37 KiB","131.81 KiB","Sun Jan 11 07:57:44 2026"
"msys","libunistring","1.4.2-1","True","1.4.2-1","x86_64","msys-package","Library for manipulating Unicode strings and C strings.","libraries","spdx:LGPL-3.0-or-later;OR;GPL-2.0-or-later","https://www.gnu.org/software/libunistring/","libiconv","","","","","754.53 KiB","2734.20 KiB","Tue Apr 21 12:31:38 2026"
"msys","libutil-linux","2.40.2-2","True","2.40.2-2","x86_64","msys-package","Block device ID and Universally Unique ID libraries","","spdx:GPL-2.0-or-later","https://www.kernel.org/pub/linux/utils/util-linux/","gcc-libs;libintl","","libblkid;libuuid;libsmartcols","","","301.30 KiB","925.93 KiB","Tue Feb 11 05:56:59 2025"
"msys","libxcrypt","4.5.2-1","True","4.5.2-1","x86_64","msys-package","Modern library for one-way hashing of passwords","","spdx:LGPL-2.1-or-later","https://github.com/besser82/libxcrypt/","","","","","","85.32 KiB","214.18 KiB","Mon Nov 17 22:52:02 2025"
"msys","libzstd","1.5.7-1","True","1.5.7-1","x86_64","msys-package","Zstandard - Fast real-time compression algorithm","","BSD","https://facebook.github.io/zstd/","gcc-libs","","","","","390.31 KiB","1109.94 KiB","Thu Feb 20 01:47:43 2025"
"msys","mintty","1~3.8.3-1","True","1~3.8.3-1","x86_64","msys-package","Terminal emulator with native Windows look and feel","","spdx:GPL-3.0-or-later","https://mintty.github.io","sh","","","","","1329.73 KiB","4226.07 KiB","Tue Jun  9 14:56:22 2026"
"msys","mpfr","4.2.2-1","True","4.2.2-1","x86_64","msys-package","Multiple-precision floating-point library","libraries","spdx:LGPL-3.0-or-later","https://www.mpfr.org/","gmp>=5.0","","","","","386.56 KiB","852.05 KiB","Mon Mar 24 02:02:30 2025"
"msys","msys2-keyring","1~20260214-1","True","1~20260214-1","any","msys-package","MSYS2 PGP keyring","","GPL","https://github.com/msys2/MSYS2-keyring","","","","","","41.17 KiB","53.97 KiB","Sat Feb 14 12:14:12 2026"
"msys","msys2-launcher","1.5-3","True","1.5-3","x86_64","msys-package","Helper for launching MSYS2 shells","","spdx:MIT","None","mintty>=1~2.2.1","","","msys2-launcher-git","msys2-launcher-git","96.38 KiB","489.72 KiB","Thu Dec 19 00:46:26 2024"
"msys","msys2-runtime","3.6.10-2","True","3.6.9-2","x86_64","system-package","Posix emulation engine for Windows","","spdx:GPL-3.0-or-later","https://www.cygwin.com/","","","","catgets;libcatgets;msys2-runtime-3.6","catgets;libcatgets;msys2-runtime-3.6","1949.67 KiB","6642.22 KiB","Fri Jul 31 02:26:53 2026"
"msys","nano","9.2-1","True","9.0-1","x86_64","msys-package","Pico editor clone with enhancements","editors","spdx:GPL-3.0-or-later","https://www.nano-editor.org","file;libintl;ncurses;sh","","","","","671.98 KiB","3349.90 KiB","Sat Aug  1 08:38:47 2026"
"msys","ncurses","6.6-2","True","6.6-2","x86_64","msys-package","System V Release 4.0 curses emulation library","","spdx:MIT","https://www.gnu.org/software/ncurses/","gcc-libs","","","","","1256.14 KiB","11008.90 KiB","Tue May 26 13:33:22 2026"
"msys","nettle","4.0-1","True","3.10.2-1","x86_64","msys-package","A low-level cryptographic library","net-utils","spdx:GPL-2.0-or-later;OR;LGPL-3.0-or-later","https://www.lysator.liu.se/~nisse/nettle/","libnettle","","","","","96.51 KiB","170.78 KiB","Tue Jun 16 14:20:05 2026"
"msys","openssl","3.6.3-1","True","3.6.3-1","x86_64","msys-package","The Open Source toolkit for Secure Sockets Layer and Transport Layer Security","","spdx:Apache-2.0","https://openssl-library.org","libopenssl","ca-certificates;perl","","","","669.12 KiB","1458.14 KiB","Tue Jun  9 16:39:43 2026"
"msys","p11-kit","0.26.4-1","True","0.26.2-1","x86_64","msys-package","Library to work with PKCS#11 modules","","spdx:BSD-3-Clause","https://p11-glue.freedesktop.org/p11-kit.html","libp11-kit","","","","","502.67 KiB","3136.20 KiB","Sat Jul 11 18:06:37 2026"
"msys","pacman","6.1.0-25","True","6.1.0-25","x86_64","system-package","A library-based package manager with dependency support (MSYS2 port)","","spdx:GPL-2.0-or-later","https://www.archlinux.org/pacman/","bash>=4.2.045;gettext;gnupg;curl;pacman-mirrors;msys2-keyring;which;bzip2;xz;zstd","","","","","5.47 MiB","35.40 MiB","Wed Jun 10 07:32:23 2026"
"msys","pacman-contrib","1.10.6-1","True","1.10.6-1","x86_64","msys-package","Contributed scripts and tools for pacman systems (MSYS2 port)","","spdx:GPL-2.0-or-later","https://gitlab.archlinux.org/pacman/pacman-contrib","perl;pacman;bash","vim","","","","4.67 MiB","11.86 MiB","Tue May 14 03:24:39 2024"
"msys","pacman-mirrors","20260129-1","True","20260129-1","any","msys-package","MSYS2 mirror list for use by pacman","","GPL","https://www.msys2.org/dev/mirrors/","","","","","","2.50 KiB","3.50 KiB","Thu Jan 29 02:16:53 2026"
"msys","perl","5.42.2-1","True","5.42.2-1","x86_64","msys-package","A highly capable, feature-rich programming language","","GPL","https://www.perl.org/","db;gdbm;libxcrypt;coreutils;sh","","perl-Archive-Tar=3.04;perl-Attribute-Handlers=1.03;perl-AutoLoader=5.74;perl-CPAN-Meta-Requirements=2.143;perl-CPAN-Meta-YAML=0.020;perl-CPAN-Meta=2.150010;perl-CPAN=2.38;perl-Carp=1.54;perl-Compress-Raw-Bzip2=2.213;perl-Compress-Raw-Zlib=2.213;perl-Config-Perl-V=0.38;perl-DB_File=1.859;perl-Data-Dumper=2.192;perl-Devel-PPPort=3.73;perl-Devel-SelfStubber=1.06;perl-Digest-MD5=2.59;perl-Digest-SHA=6.04;perl-Digest=1.20;perl-Dumpvalue=1.21;perl-Encode=3.21;perl-Env=1.06;perl-Exporter=5.79;perl-ExtUtils-CBuilder=0.280242;perl-ExtUtils-Constant=0.25;perl-ExtUtils-Install=2.22;perl-ExtUtils-MakeMaker=7.76;perl-ExtUtils-Manifest=1.75;perl-ExtUtils-PL2Bat=0.005;perl-ExtUtils-ParseXS=3.57;perl-File-Fetch=1.04;perl-File-Path=2.18;perl-File-Temp=0.2311;perl-Filter-Simple=0.96;perl-Filter-Util-Call=1.64;perl-FindBin=1.54;perl-Getopt-Long=2.58;perl-HTTP-Tiny=0.090;perl-I18N-Collate=1.02;perl-I18N-LangTags=0.45;perl-IO-Compress=2.213;perl-IO-Socket-IP=0.43;perl-IO-Zlib=1.15;perl-IO=1.55;perl-IPC-Cmd=1.04;perl-IPC-SysV=2.09;perl-JSON-PP=4.16;perl-Locale-Maketext-Simple=0.21_01;perl-Locale-Maketext=1.33;perl-MIME-Base64=3.16_01;perl-Math-BigInt-FastCalc=0.5020;perl-Math-BigInt=2.005002;perl-Math-Complex=1.63;perl-Memoize=1.17;perl-Module-CoreList=5.20260308;perl-Module-Load-Conditional=0.74;perl-Module-Load=0.36;perl-Module-Loaded=0.08;perl-Module-Metadata=1.000038;perl-NEXT=0.69;perl-Net-Ping=2.76;perl-Params-Check=0.38;perl-PathTools=3.94;perl-Perl-OSType=1.010;perl-PerlIO-via-QuotedPrint=0.10;perl-Pod-Checker=1.77;perl-Pod-Escapes=1.07;perl-Pod-Perldoc=3.2801;perl-Pod-Simple=3.45;perl-Pod-Usage=2.05;perl-Safe=2.47;perl-Scalar-List-Utils=1.68_01;perl-Search-Dict=1.08;perl-SelfLoader=1.28;perl-Socket=2.038;perl-Storable=3.37;perl-Sys-Syslog=0.36;perl-Term-ANSIColor=5.01;perl-Term-Cap=1.18;perl-Term-Complete=1.403;perl-Term-ReadLine=1.17;perl-Term-Table=0.024;perl-Test-Harness=3.50;perl-Test-Simple=1.302210;perl-Test=1.31;perl-Text-Abbrev=1.02;perl-Text-Balanced=2.06;perl-Text-ParseWords=3.31;perl-Text-Tabs=2024.001;perl-Thread-Queue=3.14;perl-Thread-Semaphore=2.13;perl-Tie-File=1.10;perl-Tie-RefHash=1.41;perl-Time-HiRes=1.9778;perl-Time-Local=1.35;perl-Time-Piece=1.36;perl-Unicode-Collate=1.31;perl-Unicode-Normalize=1.32;perl-Win32=0.59_01;perl-Win32API-File=0.1203_01;perl-XSLoader=0.32;perl-autodie=2.37;perl-autouse=1.11;perl-base=2.27;perl-bignum=0.67;perl-constant=1.33;perl-encoding-warnings=0.14;perl-experimental=0.035;perl-if=0.0610;perl-lib=0.65;perl-libnet=3.15;perl-parent=0.244;perl-perlfaq=5.20250619;perl-podlators=6.0.2;perl-threads-shared=1.70;perl-threads=2.43;perl-version=0.9933","","perl-Scalar-List-Utils","7.18 MiB","43.28 MiB","Thu Apr  2 14:54:17 2026"
"msys","pinentry","1.3.3-1","True","1.3.2-1","x86_64","msys-package","A collection of simple PIN or passphrase entry dialogs which utilize the Assuan protocol","","spdx:GPL-2.0-or-later","https://gnupg.org/related_software/pinentry/","ncurses;libassuan;libgpg-error","","","","","49.08 KiB","168.17 KiB","Tue Jul  7 21:56:21 2026"
"msys","rebase","4.5.0-5","True","4.5.0-5","x86_64","msys-package","The Cygwin rebase distribution contains four utilities, rebase, rebaseall, peflags, and peflagsall","","custom","https://www.cygwin.com/","dash","","","","","272.67 KiB","978.42 KiB","Thu May 15 02:50:14 2025"
"msys","sed","4.9-1","True","4.9-1","x86_64","msys-package","GNU stream editor","","GPL3","https://www.gnu.org/software/sed","libintl;sh","","","","","244.06 KiB","785.42 KiB","Sat Nov 19 06:44:51 2022"
"msys","tar","1.35-3","True","1.35-3","x86_64","msys-package","Utility used to store, backup, and transport files","compression","GPL3","https://www.gnu.org/software/tar/tar.html","libiconv;libintl;sh","","","","","796.12 KiB","2949.49 KiB","Fri Oct 10 16:07:34 2025"
"msys","time","1.10-1","True","1.10-1","x86_64","msys-package","Utility for monitoring a program's use of system resources","","spdx:GPL-3.0-or-later","https://www.gnu.org/directory/time.html","","","","","","25.25 KiB","38.86 KiB","Wed Apr 15 18:55:21 2026"
"msys","tzcode","2026c-1","True","2026b-1","x86_64","msys-package","Sources for time zone and daylight saving time data","","spdx:LicenseRef-tz","https://www.iana.org/time-zones","coreutils;gawk;sed","","","","","262.48 KiB","1044.16 KiB","Wed Jul 15 01:36:23 2026"
"msys","util-linux","2.40.2-2","True","2.40.2-2","x86_64","msys-package","Collection of basic system utilities","","spdx:GPL-2.0-or-later","https://www.kernel.org/pub/linux/utils/util-linux/","coreutils;libutil-linux;libiconv;libreadline;libsqlite","","getopt","getopt","getopt","2.16 MiB","12.06 MiB","Tue Feb 11 05:56:59 2025"
"msys","wget","1.25.0-2","True","1.25.0-1","x86_64","msys-package","A network utility to retrieve files from the Web","","GPL3","https://www.gnu.org/software/wget/","gcc-libs;libiconv;libidn2;libintl;libpcre2_8;libpsl;libuuid;libgnutls;zlib","ca-certificates","","","","759.86 KiB","3405.71 KiB","Tue Jun 16 14:37:25 2026"
"msys","which","2.25-1","True","2.25-1","x86_64","msys-package","A utility to show the full path of commands","","GPL3","https://savannah.gnu.org/projects/which/","sh","","","","","19.45 KiB","34.19 KiB","Sun May 31 16:26:20 2026"
"msys","xz","5.8.3-1","True","5.8.3-1","x86_64","msys-package","Library and command line tools for XZ and LZMA compressed files","compression","GPL;LGPL;custom","https://tukaani.org/xz/","liblzma;libiconv;libintl","","","","","760.50 KiB","4776.99 KiB","Tue Mar 31 23:08:03 2026"
"msys","zlib","1.3.2-1","True","1.3.2-1","x86_64","msys-package","Compression library implementing the deflate compression method found in gzip and PKZIP","libraries","custom","https://www.zlib.net/","gcc-libs","","","","","51.02 KiB","92.51 KiB","Tue Feb 17 12:25:46 2026"
"msys","zstd","1.5.7-1","True","1.5.7-1","x86_64","msys-package","Zstandard - Fast real-time compression algorithm","libraries","BSD","https://facebook.github.io/zstd/","gcc-libs;libzstd","","","","","89.13 KiB","757.05 KiB","Thu Feb 20 01:47:43 2025"
