"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"msys","python-wcwidth","0.3.0-1","False","","any","msys-package","Measures number of Terminal column cells of wide-character codes","","spdx:MIT","https://github.com/jquast/wcwidth","python","","","","","85.85 KiB","988.58 KiB","Thu Jan 22 02:42:46 2026"
"msys","python-yaml","6.0.3-1","False","","x86_64","msys-package","Python bindings for YAML, using fast libYAML library","","spdx:MIT","https://pyyaml.org/","python;libyaml","","","","","192.39 KiB","954.33 KiB","Wed Oct  8 01:11:47 2025"
"msys","python-zstandard","0.25.0-1","False","","x86_64","msys-package","Python bindings to the Zstandard (zstd) compression library","","spdx:BSD-3-Clause","https://github.com/indygreg/python-zstandard","python","","","","","416.46 KiB","1498.44 KiB","Sun Oct 12 22:26:32 2025"
"msys","quilt","0.69-2","False","","any","msys-package","Manage large numbers of patches","","GPL2+","https://savannah.nongnu.org/projects/quilt","bash;bzip2;diffstat;diffutils;findutils;gawk;gettext;gzip;patch;perl","","","","","738.44 KiB","1537.69 KiB","Mon Feb  2 12:47:41 2026"
"msys","rcs","5.10.1-2","False","","x86_64","msys-package","Revision Control System: manages multiple revisions of files","","GPL3","https://www.gnu.org/software/rcs/","","","","","","177.66 KiB","500.88 KiB","Mon Apr  4 03:01:07 2022"
"msys","re2c","4.4-1","False","","x86_64","msys-package","A tool for generating C-based recognizers from regular expressions","","public;domain","https://re2c.org/","gcc-libs","","","","","820.75 KiB","12827.76 KiB","Sun Dec 28 08:35:37 2025"
"msys","rebase","4.5.0-5","True","4.5.0-5","x86_64","msys-package","The Cygwin rebase distribution contains four utilities, rebase, rebaseall, peflags, and peflagsall","","custom","https://www.cygwin.com/","dash","","","","","272.67 KiB","978.42 KiB","Thu May 15 02:50:14 2025"
"msys","reflex","20260131-1","False","","x86_64","msys-package","A variant of the flex fast lexical scanner","","BSD","https://invisible-island.net/reflex","","","","","","110.09 KiB","437.54 KiB","Thu Feb  5 01:32:52 2026"
"msys","remake","4.3+dbg1.6-1","False","","x86_64","msys-package","Enhanced GNU Make - tracing, error reporting, debugging, profiling and more","","GPL3","https://github.com/rocky/remake","guile;libreadline","","","remake-git","remake-git","351.20 KiB","1399.04 KiB","Thu Dec 29 11:14:29 2022"
"msys","rhash","1.4.4-1","False","","x86_64","msys-package","Utility for verifying hash sums of files","","custom;MIT","https://sourceforge.net/projects/rhash/","librhash=1.4.4;libiconv;libintl","","","","","61.81 KiB","1180.00 KiB","Tue Sep 10 10:03:32 2024"
"msys","rlwrap","0.46.1-1","False","","x86_64","msys-package","utility that uses the GNU readline library to allow the editing of keyboard input for any command","utilities","GPL","https://github.com/hanslub42/rlwrap","libreadline","","","","","106.54 KiB","274.90 KiB","Fri Dec  2 03:36:16 2022"
"msys","rpcsvc-proto","1.4.4-1","False","","x86_64","msys-package","rpcsvc protocol definitions from glibc.","","BSD","https://github.com/thkukuk/rpcsvc-proto","libintl;libiconv","","","","","61.56 KiB","201.27 KiB","Fri Sep  8 05:10:35 2023"
"msys","rsync","3.4.4-1","False","","x86_64","msys-package","A file transfer program to keep remote files in sync","net-utils","GPL3","https://rsync.samba.org","perl;libiconv;liblz4;libopenssl;libxxhash;libzstd;popt","","","rsync2","rsync2","366.41 KiB","687.01 KiB","Mon Jun  8 03:32:46 2026"
"msys","ruby","3.4.10-1","False","","x86_64","msys-package","An object-oriented language for quick and easy programming","","spdx:Ruby;OR;BSD-2-Clause","https://www.ruby-lang.org/en/","gcc-libs;libopenssl;libffi;libxcrypt;gmp;libyaml;libgdbm;libiconv;libreadline;zlib","ruby-docs","rubygems;rake","rake","","8.75 MiB","35.47 MiB","Sat Jul 18 14:08:45 2026"
"msys","ruby-docs","3.4.10-1","False","","x86_64","msys-package","Documentation files for ruby","","spdx:Ruby;OR;BSD-2-Clause","https://www.ruby-lang.org/en/","","","","","","8.19 MiB","113.86 MiB","Sat Jul 18 14:08:45 2026"
"msys","rust","1.97.0-2","False","","x86_64","msys-package","Systems programming language focused on safety, speed and concurrency","","spdx:Apache-2.0;AND;MIT","https://www.rust-lang.org/","gcc;zlib;libzstd;libsqlite;libssh2;libgit2;libopenssl;libcurl;llvm-libs","gdb","","","","62.04 MiB","243.99 MiB","Fri Jul 10 02:31:22 2026"
"msys","scons","4.10.1-1","False","","any","msys-package","Extensible Python-based build utility","","spdx:MIT","https://scons.org/","python","","","","","2.18 MiB","23.48 MiB","Mon Nov 17 22:53:40 2025"
"msys","screenfetch","3.9.9-1","False","","any","msys-package","Bash screenshot information tool","","GPL","https://github.com/KittyKatt/screenFetch","bash","curl","","","","72.66 KiB","312.14 KiB","Fri Dec 13 13:41:09 2024"
"msys","sed","4.9-1","True","4.9-1","x86_64","msys-package","GNU stream editor","","GPL3","https://www.gnu.org/software/sed","libintl;sh","","","","","244.06 KiB","785.42 KiB","Sat Nov 19 06:44:51 2022"
"msys","setconf","0.7.7-2","False","","any","msys-package","Utility to easily change settings in configuration files","","GPL2","https://setconf.roboticoverlords.org/","python3","","","","","10.00 KiB","31.82 KiB","Sat Dec  9 13:05:43 2023"
"msys","sgml-common","0.6.3-2","False","","any","msys-package","Tools for maintaining centralized SGML catalogs.","","GPL","https://www.docbook.org/xml/","sh","","","","","42.07 KiB","187.02 KiB","Wed Dec 13 13:05:39 2023"
"msys","sharutils","4.15.2-2","False","","x86_64","msys-package","Makes so-called shell archives out of many files","","GPL3+","https://www.gnu.org/software/sharutils","perl;gettext;texinfo","","","","","951.30 KiB","5577.40 KiB","Wed Dec 13 12:07:33 2023"
"msys","shellspec","0.28.1-1","False","","any","msys-package","BDD style unit testing framework for POSIX compliant shell script","","MIT","https://shellspec.info","bash","","","","","72.62 KiB","300.37 KiB","Thu Jun  9 17:18:24 2022"
"msys","shutdown","2.0.0-1","False","","x86_64","msys-package","Shutdown, reboot, hibernate or suspend the machine","","spdx:GPL-3.0-or-later","https://cygwin.com/git/?p=cygwin-apps/shutdown.git","","","","","","12.43 KiB","132.50 KiB","Fri Feb  7 02:39:49 2025"
"msys","socat","1.8.1.3-1","False","","x86_64","msys-package","Multipurpose relay","","spdx:GPL-2.0-only","http://www.dest-unreach.org/socat/","libreadline;libopenssl","","","","","207.73 KiB","1003.16 KiB","Fri Jul  3 07:56:17 2026"
"msys","sqlite","3.53.3-1","False","","x86_64","msys-package","A C library that implements an SQL database engine","","spdx:LicenseRef-Sqlite","https://www.sqlite.org/","libreadline;zlib;tcl","","sqlite3=3.53.3","","sqlite3;sqlite-icu;sqlite-rbu","1424.14 KiB","8110.86 KiB","Mon Jun 29 02:42:02 2026"
"msys","sqlite-doc","3.53.3-1","False","","x86_64","msys-package","Most of the static HTML files that comprise Sqlite 3.53.3 website, including all of the SQL Syntax and the C/C++ interface specs and other miscellaneous documentation","","spdx:LicenseRef-Sqlite","https://www.sqlite.org/","","","sqlite3-doc=3.53.3","","","5.41 MiB","35.60 MiB","Mon Jun 29 02:42:02 2026"
"msys","sqlite-extensions","3.53.3-1","False","","x86_64","msys-package","Various extensions for the SQL database engine 3.53.3","","spdx:LicenseRef-Sqlite","https://www.sqlite.org/","sqlite=3.53.3;libsqlite=3.53.3","","","","sqlite-compress;sqlite-vfslog","313.72 KiB","1727.42 KiB","Mon Jun 29 02:42:02 2026"
"msys","squashfs-tools","4.7.5-1","False","","x86_64","msys-package","Tools for squashfs, a highly compressed read-only filesystem for Linux","","spdx:GPL-2.0-or-later","https://github.com/plougher/squashfs-tools","gcc-libs;liblz4;liblzo2;liblzma;zlib;libzstd","","","","","250.35 KiB","1424.29 KiB","Tue Mar  3 14:32:13 2026"
"msys","ssh-pageant","1.4.r15.gc804ba4-1","False","","x86_64","msys-package","An SSH authentication agent for Cygwin/MSYS to PuTTY's Pageant","","spdx:GPL-3.0-or-later","https://github.com/cuviper/ssh-pageant","","","ssh-pageant-git","ssh-pageant-git","ssh-pageant-git","26.93 KiB","66.39 KiB","Fri May 19 11:12:58 2023"
"msys","sshpass","1.10-1","False","","x86_64","msys-package","Fool ssh into accepting an interactive password non-interactively","net-utils","GPL","https://sourceforge.net/projects/sshpass/","openssh","","","","","11.26 KiB","20.38 KiB","Sun Feb 12 18:24:02 2023"
"msys","stow","2.4.1-1","False","","any","msys-package","GNU Stow is a symlink farm manager which takes distinct packages of software and/or data located in separate directories on the filesystem, and makes them appear to be installed in the same place","","GPL","https://ftp.gnu.org/gnu/stow/","perl","","","","","131.50 KiB","638.50 KiB","Tue Sep 17 01:40:14 2024"
"msys","subversion","1.14.5-3","False","","x86_64","msys-package","A Modern Concurrent Version Control System","VCS","spdx:Apache-2.0","https://subversion.apache.org/","apr;apr-util;file;gcc-libs;libbz2;libexpat;libiconv;libintl;liblz4;liblzma;libopenssl;libsasl;libserf;libsqlite;libutil-linux;libxcrypt;libzstd;zlib","bash-completion","svn","","","3.72 MiB","22.14 MiB","Thu Apr  2 15:19:25 2026"
"msys","swig","4.4.0-1","False","","x86_64","msys-package","Generate scripting interfaces to C/C++ code","","custom","https://www.swig.org/","zlib;libpcre2_8","","","","","1121.58 KiB","4917.16 KiB","Sun Feb  1 06:03:06 2026"
"msys","tar","1.35-3","True","1.35-3","x86_64","msys-package","Utility used to store, backup, and transport files","compression","GPL3","https://www.gnu.org/software/tar/tar.html","libiconv;libintl;sh","","","","","796.12 KiB","2949.49 KiB","Fri Oct 10 16:07:34 2025"
"msys","task","2.6.2-2","False","","x86_64","msys-package","A command-line todo list manager","","MIT","https://taskwarrior.org/","gcc-libs;libgnutls;libutil-linux;libhogweed","bash-completion;python;ruby;perl;perl-JSON;rsync;curl;openssh","","","","1009.91 KiB","3009.09 KiB","Fri Sep 15 11:19:10 2023"
"msys","tcl","8.6.12-3","False","","x86_64","msys-package","The Tcl scripting language","","custom","https://tcl.sourceforge.io/","zlib","","","","","1880.62 KiB","5269.89 KiB","Mon Apr 17 03:06:55 2023"
"msys","tcl-devel","8.6.12-3","False","","x86_64","msys-package","The Tcl scripting language (development files)","development","custom","https://tcl.sourceforge.io/","tcl=8.6.12","","","","","188.55 KiB","2970.68 KiB","Mon Apr 17 03:06:55 2023"
"msys","tcl-doc","8.6.12-3","False","","x86_64","msys-package","The Tcl scripting language (documentation)","","custom","https://tcl.sourceforge.io/","","","","","","498.44 KiB","491.83 KiB","Mon Apr 17 03:06:55 2023"
"msys","tcl-sqlite","3.53.3-1","False","","x86_64","msys-package","Tcl bindings for SQLite","","spdx:LicenseRef-Sqlite","https://www.sqlite.org/","libsqlite=3.53.3;tcl","","","","","772.55 KiB","1609.10 KiB","Mon Jun 29 02:42:02 2026"
"msys","tcsh","6.24.16-1","False","","x86_64","msys-package","C shell with file name completion and command line editing","","BSD","https://www.tcsh.org/","gcc-libs;libxcrypt;libiconv;ncurses","","csh","csh","","335.58 KiB","1203.99 KiB","Tue Jul 15 07:46:00 2025"
"msys","texinfo","7.2-3","False","","x86_64","msys-package","Utilities to work with and produce manuals, ASCII text, and on-line documentation from a single source file","","spdx:GPL-3.0-or-later","https://www.gnu.org/software/texinfo/","info;perl;sh","","","","","1474.93 KiB","10988.32 KiB","Thu Apr  2 15:05:11 2026"
"msys","texinfo-tex","7.2-3","False","","x86_64","msys-package","Utilities to work with and produce manuals, ASCII text, and on-line documentation from a single source file","","spdx:GPL-3.0-or-later","https://www.gnu.org/software/texinfo/","gawk;perl;sh","","","","","24.14 KiB","60.51 KiB","Thu Apr  2 15:05:11 2026"
"msys","tftp-hpa","5.2-5","False","","x86_64","msys-package","Official tftp server","","BSD","https://www.kernel.org/pub/software/network/tftp/tftp-hpa/","libreadline>=6.0.00","","","","","19.03 KiB","37.36 KiB","Thu Jan 30 02:06:28 2025"
"msys","tig","2.6.1-1","False","","x86_64","msys-package","Text-mode interface for Git","","spdx:GPL-2.0-or-later","https://jonas.github.io/tig/","git;libreadline;ncurses","","","","","218.72 KiB","720.60 KiB","Mon Jun 15 14:17:58 2026"
"msys","time","1.10-1","True","1.10-1","x86_64","msys-package","Utility for monitoring a program's use of system resources","","spdx:GPL-3.0-or-later","https://www.gnu.org/directory/time.html","","","","","","25.25 KiB","38.86 KiB","Wed Apr 15 18:55:21 2026"
