repository,name,version,installed,installed_version,architecture,classification,description,groups,licenses,project_url,required_dependencies,optional_dependencies,provides,conflicts,replaces,download_size,installed_size,build_date
ucrt64,mingw-w64-ucrt-x86_64-python-statsd,4.0.1-5,False,,any,mingw-package,A simple statsd client (mingw-w64),,MIT,https://github.com/jsocol/pystatsd,mingw-w64-ucrt-x86_64-python,,,,,35520,193483,1769435173
ucrt64,mingw-w64-ucrt-x86_64-python-statsmodels,0.14.6-3,False,,any,mingw-package,Statistical computations and models for use with SciPy (mingw-w64),,spdx:BSD-3-Clause,https://www.statsmodels.org,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-numpy;mingw-w64-ucrt-x86_64-python-scipy;mingw-w64-ucrt-x86_64-python-packaging;mingw-w64-ucrt-x86_64-python-pandas;mingw-w64-ucrt-x86_64-python-patsy,mingw-w64-ucrt-x86_64-python-colorama;mingw-w64-ucrt-x86_64-python-joblib;mingw-w64-ucrt-x86_64-python-matplotlib: needed for plotting functions,,,,11280862,70026962,1769482383
ucrt64,mingw-w64-ucrt-x86_64-python-stestr,4.2.1-1,False,,any,mingw-package,A test runner runner similar to testrepository (mingw-w64),,spdx:Apache-2.0,https://stestr.readthedocs.io/,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-cliff;mingw-w64-ucrt-x86_64-python-extras;mingw-w64-ucrt-x86_64-python-fixtures;mingw-w64-ucrt-x86_64-python-pbr;mingw-w64-ucrt-x86_64-python-subunit;mingw-w64-ucrt-x86_64-python-testtools;mingw-w64-ucrt-x86_64-python-tomlkit;mingw-w64-ucrt-x86_64-python-voluptuous;mingw-w64-ucrt-x86_64-python-yaml,,,,,216767,1322260,1771692334
ucrt64,mingw-w64-ucrt-x86_64-python-stevedore,5.9.0-1,False,,any,mingw-package,Manage dynamic plugins for Python applications (mingw-w64),,spdx:Apache-2.0,https://github.com/openstack/stevedore,mingw-w64-ucrt-x86_64-python,,,,,77700,496503,1785118782
ucrt64,mingw-w64-ucrt-x86_64-python-strict-rfc3339,0.7-8,False,,any,mingw-package,"Strict, simple, lightweight RFC3339 functions (mingw-w64)",,GPL,http://www.danielrichman.co.uk/libraries/strict-rfc3339.html,mingw-w64-ucrt-x86_64-python,,,,,22149,96974,1769435002
ucrt64,mingw-w64-ucrt-x86_64-python-striprtf,0.0.32-1,False,,any,mingw-package,A simple library to convert rtf to text (mingw-w64),,spdx:BSD-3-Clause,https://github.com/joshy/striprtf,mingw-w64-ucrt-x86_64-python,,,,,50666,128720,1777331358
ucrt64,mingw-w64-ucrt-x86_64-python-structlog,25.4.0-3,False,,any,mingw-package,Structured Logging for Python (mingw-w64),,spdx:Apache-2.0 OR MIT,https://www.structlog.org/,mingw-w64-ucrt-x86_64-python,,,,,126637,795617,1769451723
ucrt64,mingw-w64-ucrt-x86_64-python-subunit,1.4.6-1,False,,any,mingw-package,Python implementation of subunit test streaming protocol (mingw-w64),,spdx:Apache-2.0 OR BSD-3-Clause,https://launchpad.net/subunit,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-iso8601;mingw-w64-ucrt-x86_64-python-pyaml;mingw-w64-ucrt-x86_64-python-testtools,,,,,163034,2222292,1778996034
ucrt64,mingw-w64-ucrt-x86_64-python-superqt,0.8.2-1,False,,any,mingw-package,Missing widgets and components for Qt-python (mingw-w64),,spdx:BSD-3-Clause,https://pyapp-kit.github.io/superqt/,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-pygments;mingw-w64-ucrt-x86_64-python-qtpy;mingw-w64-ucrt-x86_64-python-typing_extensions,,,,,223973,1392457,1779226656
ucrt64,mingw-w64-ucrt-x86_64-python-svgelements,1.9.6-4,False,,any,mingw-package,Svg Elements Parsing (mingw-w64),,MIT,https://github.com/meerk40t/svgelements,mingw-w64-ucrt-x86_64-python,,,,,300161,2463431,1769434916
